189.245.69.36 - - [07/May/2017:13:48:56 -0500] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 200 22957
189.245.69.36 - - [07/May/2017:13:48:56 -0500] "GET /Promocion/resources/css/styles.css HTTP/1.1" 200 2622
189.245.69.36 - - [07/May/2017:13:48:56 -0500] "GET /Promocion/img/favicon.ico HTTP/1.1" 404 12314
189.245.69.36 - - [07/May/2017:13:48:56 -0500] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
189.245.69.36 - - [07/May/2017:13:48:56 -0500] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 200 33933
189.245.69.36 - - [07/May/2017:13:48:58 -0500] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 200 16994
189.245.69.36 - - [07/May/2017:13:48:59 -0500] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 200 3510
189.245.69.36 - - [07/May/2017:13:48:59 -0500] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 200 10199
189.245.69.36 - - [07/May/2017:13:48:59 -0500] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 200 11482
189.245.69.36 - - [07/May/2017:13:49:14 -0500] "POST /Promocion/login HTTP/1.1" 302 -
189.245.69.36 - - [07/May/2017:13:49:15 -0500] "GET /Promocion/participa/ticket/index/activo.do HTTP/1.1" 200 17644
189.245.69.36 - - [07/May/2017:13:49:15 -0500] "GET /Promocion/participa/ticket/index/img/favicon.ico HTTP/1.1" 404 12314
189.245.69.36 - - [07/May/2017:13:49:15 -0500] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:15 -0500] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:15 -0500] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:15 -0500] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:17 -0500] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:17 -0500] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:18 -0500] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:18 -0500] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:18 -0500] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:18 -0500] "GET /Promocion/resources/cms_files/tickets/3980e90d-9b88-44b0-a1e5-88a4790c423b-thumbnail.jpg HTTP/1.1" 200 38792
189.245.69.36 - - [07/May/2017:13:49:18 -0500] "GET /Promocion/resources/cms_files/tickets/b7de6242-3b75-4313-bf5c-2989c0ff1d33-thumbnail.jpg HTTP/1.1" 200 156359
189.245.69.36 - - [07/May/2017:13:49:19 -0500] "POST /Promocion/participa/ticket/index/activo.do HTTP/1.1" 405 -
189.245.69.36 - - [07/May/2017:13:49:26 -0500] "POST /Promocion/participa/ticket/index/activo.do HTTP/1.1" 405 -
189.245.69.36 - - [07/May/2017:13:49:29 -0500] "GET /Promocion/participa/ticket/index/activo.do HTTP/1.1" 200 17644
189.245.69.36 - - [07/May/2017:13:49:29 -0500] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:29 -0500] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:30 -0500] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:31 -0500] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:31 -0500] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:31 -0500] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:31 -0500] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:32 -0500] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:32 -0500] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:33 -0500] "GET /Promocion/resources/cms_files/tickets/3980e90d-9b88-44b0-a1e5-88a4790c423b-thumbnail.jpg HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:33 -0500] "GET /Promocion/resources/cms_files/tickets/b7de6242-3b75-4313-bf5c-2989c0ff1d33-thumbnail.jpg HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:34 -0500] "POST /Promocion/participa/ticket/index/activo.do HTTP/1.1" 405 -
189.245.69.36 - - [07/May/2017:13:49:38 -0500] "POST /Promocion/participa/ticket/index/activo.do HTTP/1.1" 405 -
189.245.69.36 - - [07/May/2017:13:49:39 -0500] "GET /Promocion/participa/ticket/index/expirado.do HTTP/1.1" 200 16004
189.245.69.36 - - [07/May/2017:13:49:40 -0500] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:40 -0500] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:40 -0500] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.245.69.36 - - [07/May/2017:13:49:40 -0500] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
