189.225.207.3 - - [30/May/2017:11:45:25 -0500] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:25 -0500] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:25 -0500] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:25 -0500] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:25 -0500] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:25 -0500] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:25 -0500] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:25 -0500] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:35 -0500] "POST /Promocion/login HTTP/1.1" 302 -
189.225.207.3 - - [30/May/2017:11:45:35 -0500] "GET /Promocion/admin/usuario/index.do HTTP/1.1" 200 19038
189.225.207.3 - - [30/May/2017:11:45:35 -0500] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:35 -0500] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:35 -0500] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:35 -0500] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:35 -0500] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:36 -0500] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:36 -0500] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:36 -0500] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:36 -0500] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:36 -0500] "POST /Promocion/admin/usuario/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:45:36 -0500] "GET /Promocion/admin/usuario/img/favicon.ico HTTP/1.1" 404 12314
189.225.207.3 - - [30/May/2017:11:45:38 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 200 36515
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "GET /Promocion/resources/cms_files/tickets/97f2c035-c825-4de2-918f-aada7cc604a9-thumbnail.png HTTP/1.1" 200 137410
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "POST /Promocion/admin/ticket/index.do HTTP/1.1" 405 -
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "GET /Promocion/resources/cms_files/tickets/13a6bc34-4a3e-4945-9084-b9df8a037058-thumbnail.jpg HTTP/1.1" 200 83883
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "GET /Promocion/resources/cms_files/tickets/8441b95b-74bc-45e9-bdd6-6247cb00ba5a-thumbnail.png HTTP/1.1" 200 144193
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "GET /Promocion/resources/cms_files/tickets/3b150cc0-8dfc-41a2-bafd-9d6a7acfc967-thumbnail.png HTTP/1.1" 200 127633
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "GET /Promocion/resources/cms_files/tickets/e4ee4168-8662-4c16-be22-2cca28a85cfc-thumbnail.jpg HTTP/1.1" 200 136274
189.225.207.3 - - [30/May/2017:11:45:39 -0500] "GET /Promocion/resources/cms_files/tickets/a2d9ac69-3b15-454f-8b84-47232267f2f4-thumbnail.jpg HTTP/1.1" 200 92231
189.225.207.3 - - [30/May/2017:11:45:41 -0500] "GET /Promocion/resources/cms_files/tickets/c2685c8d-d3e8-4b57-af6d-c3c4ebc16fa5-thumbnail.jpeg HTTP/1.1" 200 106651
189.225.207.3 - - [30/May/2017:11:45:41 -0500] "GET /Promocion/resources/cms_files/tickets/2e0165dd-7022-41db-894d-c756d193af90-thumbnail.jpg HTTP/1.1" 200 203931
189.225.207.3 - - [30/May/2017:11:45:41 -0500] "GET /Promocion/resources/cms_files/tickets/e50367dd-d4e7-4c5a-8d5d-71631c1110af-thumbnail.jpg HTTP/1.1" 200 175630
189.225.207.3 - - [30/May/2017:11:45:41 -0500] "GET /Promocion/resources/cms_files/tickets/f4c27291-3081-4ab2-820a-5363b41ce729-thumbnail.jpg HTTP/1.1" 200 126784
189.225.207.3 - - [30/May/2017:11:45:41 -0500] "GET /Promocion/resources/cms_files/tickets/9035dec8-4b8b-45d9-bcf3-4d149c8df4cb-thumbnail.jpg HTTP/1.1" 200 25220
189.225.207.3 - - [30/May/2017:11:45:41 -0500] "GET /Promocion/resources/cms_files/tickets/7791ef5f-d192-497c-a434-4647683d5cc8-thumbnail.jpg HTTP/1.1" 200 36622
189.225.207.3 - - [30/May/2017:11:45:42 -0500] "GET /Promocion/resources/cms_files/tickets/ef99fabe-68f2-4a5a-a8ff-4903f5eda94c-thumbnail.jpg HTTP/1.1" 200 152759
